reviewer_id,case_id,category,language,source_text,source_text_valid,language_valid,intent_valid,target_valid,conditions_valid,policy_valid,outcome_valid,claims_valid,notes
R2,V2C-0000,parallel_semantic,ko,출처가 확인되면 QV0000의 2022년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0001,parallel_semantic,en,Please substantiate the 2022 assets figure associated with QV0000,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0002,parallel_semantic,ko,출처가 확인되면 QV0002의 2024년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0003,parallel_semantic,en,Please substantiate the 2024 net_income figure associated with QV0002,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0004,parallel_semantic,ko,출처가 확인되면 QV0004의 2026년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0005,parallel_semantic,en,Please substantiate the 2026 assets figure associated with QV0004,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0006,parallel_semantic,ko,출처가 확인되면 QV0006의 2023년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0007,parallel_semantic,en,Please substantiate the 2023 net_income figure associated with QV0006,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0008,parallel_semantic,ko,출처가 확인되면 QV0008의 2025년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0009,parallel_semantic,en,Please substantiate the 2025 assets figure associated with QV0008,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0010,parallel_semantic,ko,출처가 확인되면 QV0010의 2022년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0011,parallel_semantic,en,Please substantiate the 2022 net_income figure associated with QV0010,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0012,parallel_semantic,ko,출처가 확인되면 QV0012의 2024년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0013,parallel_semantic,en,Please substantiate the 2024 assets figure associated with QV0012,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0014,parallel_semantic,ko,출처가 확인되면 QV0014의 2026년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0015,parallel_semantic,en,Please substantiate the 2026 net_income figure associated with QV0014,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0016,parallel_semantic,ko,출처가 확인되면 QV0016의 2023년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0017,parallel_semantic,en,Please substantiate the 2023 assets figure associated with QV0016,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0018,parallel_semantic,ko,출처가 확인되면 QV0018의 2025년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0019,parallel_semantic,en,Please substantiate the 2025 net_income figure associated with QV0018,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0020,parallel_semantic,ko,출처가 확인되면 QV0020의 2022년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0021,parallel_semantic,en,Please substantiate the 2022 assets figure associated with QV0020,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0022,parallel_semantic,ko,출처가 확인되면 QV0022의 2024년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0023,parallel_semantic,en,Please substantiate the 2024 net_income figure associated with QV0022,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0024,parallel_semantic,ko,출처가 확인되면 QV0024의 2026년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0025,parallel_semantic,en,Please substantiate the 2026 assets figure associated with QV0024,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0026,parallel_semantic,ko,출처가 확인되면 QV0026의 2023년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0027,parallel_semantic,en,Please substantiate the 2023 net_income figure associated with QV0026,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0028,parallel_semantic,ko,출처가 확인되면 QV0028의 2025년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0029,parallel_semantic,en,Please substantiate the 2025 assets figure associated with QV0028,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0030,parallel_semantic,ko,출처가 확인되면 QV0030의 2022년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0031,parallel_semantic,en,Please substantiate the 2022 net_income figure associated with QV0030,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0032,parallel_semantic,ko,출처가 확인되면 QV0032의 2024년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0033,parallel_semantic,en,Please substantiate the 2024 assets figure associated with QV0032,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0034,parallel_semantic,ko,출처가 확인되면 QV0034의 2026년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0035,parallel_semantic,en,Please substantiate the 2026 net_income figure associated with QV0034,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0036,parallel_semantic,ko,출처가 확인되면 QV0036의 2023년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0037,parallel_semantic,en,Please substantiate the 2023 assets figure associated with QV0036,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0038,parallel_semantic,ko,출처가 확인되면 QV0038의 2025년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0039,parallel_semantic,en,Please substantiate the 2025 net_income figure associated with QV0038,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0040,parallel_semantic,ko,출처가 확인되면 QV0040의 2022년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0041,parallel_semantic,en,Please substantiate the 2022 assets figure associated with QV0040,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0042,parallel_semantic,ko,출처가 확인되면 QV0042의 2024년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0043,parallel_semantic,en,Please substantiate the 2024 net_income figure associated with QV0042,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0044,parallel_semantic,ko,출처가 확인되면 QV0044의 2026년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0045,parallel_semantic,en,Please substantiate the 2026 assets figure associated with QV0044,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0046,parallel_semantic,ko,출처가 확인되면 QV0046의 2023년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0047,parallel_semantic,en,Please substantiate the 2023 net_income figure associated with QV0046,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0048,parallel_semantic,ko,출처가 확인되면 QV0048의 2025년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0049,parallel_semantic,en,Please substantiate the 2025 assets figure associated with QV0048,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0050,parallel_semantic,ko,출처가 확인되면 QV0050의 2022년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0051,parallel_semantic,en,Please substantiate the 2022 net_income figure associated with QV0050,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0052,parallel_semantic,ko,출처가 확인되면 QV0052의 2024년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0053,parallel_semantic,en,Please substantiate the 2024 assets figure associated with QV0052,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0054,parallel_semantic,ko,출처가 확인되면 QV0054의 2026년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0055,parallel_semantic,en,Please substantiate the 2026 net_income figure associated with QV0054,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0056,parallel_semantic,ko,출처가 확인되면 QV0056의 2023년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0057,parallel_semantic,en,Please substantiate the 2023 assets figure associated with QV0056,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0058,parallel_semantic,ko,출처가 확인되면 QV0058의 2025년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0059,parallel_semantic,en,Please substantiate the 2025 net_income figure associated with QV0058,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0060,parallel_semantic,ko,출처가 확인되면 QV0060의 2022년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0061,parallel_semantic,en,Please substantiate the 2022 assets figure associated with QV0060,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0062,parallel_semantic,ko,출처가 확인되면 QV0062의 2024년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0063,parallel_semantic,en,Please substantiate the 2024 net_income figure associated with QV0062,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0064,parallel_semantic,ko,출처가 확인되면 QV0064의 2026년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0065,parallel_semantic,en,Please substantiate the 2026 assets figure associated with QV0064,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0066,parallel_semantic,ko,출처가 확인되면 QV0066의 2023년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0067,parallel_semantic,en,Please substantiate the 2023 net_income figure associated with QV0066,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0068,parallel_semantic,ko,출처가 확인되면 QV0068의 2025년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0069,parallel_semantic,en,Please substantiate the 2025 assets figure associated with QV0068,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0070,parallel_semantic,ko,출처가 확인되면 QV0070의 2022년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0071,parallel_semantic,en,Please substantiate the 2022 net_income figure associated with QV0070,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0072,parallel_semantic,ko,출처가 확인되면 QV0072의 2024년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0073,parallel_semantic,en,Please substantiate the 2024 assets figure associated with QV0072,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0074,parallel_semantic,ko,출처가 확인되면 QV0074의 2026년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0075,parallel_semantic,en,Please substantiate the 2026 net_income figure associated with QV0074,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0076,parallel_semantic,ko,출처가 확인되면 QV0076의 2023년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0077,parallel_semantic,en,Please substantiate the 2023 assets figure associated with QV0076,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0078,parallel_semantic,ko,출처가 확인되면 QV0078의 2025년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0079,parallel_semantic,en,Please substantiate the 2025 net_income figure associated with QV0078,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0080,parallel_semantic,ko,출처가 확인되면 QV0080의 2022년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0081,parallel_semantic,en,Please substantiate the 2022 assets figure associated with QV0080,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0082,parallel_semantic,ko,출처가 확인되면 QV0082의 2024년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0083,parallel_semantic,en,Please substantiate the 2024 net_income figure associated with QV0082,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0084,parallel_semantic,ko,출처가 확인되면 QV0084의 2026년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0085,parallel_semantic,en,Please substantiate the 2026 assets figure associated with QV0084,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0086,parallel_semantic,ko,출처가 확인되면 QV0086의 2023년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0087,parallel_semantic,en,Please substantiate the 2023 net_income figure associated with QV0086,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0088,parallel_semantic,ko,출처가 확인되면 QV0088의 2025년 assets 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0089,parallel_semantic,en,Please substantiate the 2025 assets figure associated with QV0088,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
R2,V2C-0090,parallel_semantic,ko,출처가 확인되면 QV0090의 2022년 net_income 수치를 검증해 주세요,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=ko
R2,V2C-0091,parallel_semantic,en,Please substantiate the 2022 net_income figure associated with QV0090,1,1,1,1,1,1,1,1,AI-R2:Gemini3.6Flash automated review | cat=parallel_semantic lang=en
